Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-1951-35713*1;Aloiampelos striatula var. caesia;Princess of Wales Conservatory;03;21;
K:LCD-1978-3813*4;Stromanthe tonckat;Princess of Wales Conservatory;04;10;
K:LCD-1954-15901*4;Stenochlaena tenuifolia;Princess of Wales Conservatory;01;07;
K:LCD-1992-2097*2;Begonia gehrtii;Princess of Wales Conservatory;01;23;
K:LCD-1977-2069*2;Aeonium decorum;Princess of Wales Conservatory;03;13;
K:LCD-1998-3484*4;Pelargonium inquinans;Princess of Wales Conservatory;03;09;
K:LCD-2004-2686*4;Eichhornia crassipes;Princess of Wales Conservatory;01;24;
K:LCD-1973-2434*1;Hesperaloe nocturna;Princess of Wales Conservatory;03;12;
K:LCD-1979-193*3;Begonia augustinei;Princess of Wales Conservatory;01;23;
K:LCD-1981-2373*3;Stromanthe tonckat;Princess of Wales Conservatory;01;05;
K:LCD-1985-3535*4;Sedum adolphi;Princess of Wales Conservatory;03;20;
K:LCD-1983-2091*3;Maranta bicolor;Princess of Wales Conservatory;01;29;
K:LCD-1994-2591*6;Spathiphyllum cochlearispathum;Princess of Wales Conservatory;01;06;
K:LCD-2004-2689*2;Pelargonium echinatum;Princess of Wales Conservatory;03;11;
K:LCD-1936-48701*1;Gasteria carinata var. verrucosa;Princess of Wales Conservatory;03;03;
K:LCD-1989-1324*1;Tetradenia fruticosa;Princess of Wales Conservatory;03;22;
K:LCD-1988-120*5;Nesocodon mauritianus;Princess of Wales Conservatory;07;03;
K:LCD-1973-4837*2;Billbergia horrida;Princess of Wales Conservatory;01;12;
K:LCD-1963-50218*2;Carruanthus;Princess of Wales Conservatory;03;08;
K:LCD-1978-4542*2;Impatiens flaccida;Princess of Wales Conservatory;01;23;
K:LCD-1981-6450*2;Marattia salicina;Princess of Wales Conservatory;04;09;
K:LCD-1984-662*1;Zingiber officinale;Princess of Wales Conservatory;01;18;
K:LCD-2012-1428*2;Passiflora contracta;Princess of Wales Conservatory;01;11;T6
K:LCD-1981-2371*3;Maranta leuconeura;Princess of Wales Conservatory;01;23;
K:LCD-1982-804*1;Stephania rotunda;Princess of Wales Conservatory;03;23;
K:LCD-1988-3940*2;Blechnum orientale;Princess of Wales Conservatory;06;05;
K:LCD-1969-3905*1;Philodendron smithii;Princess of Wales Conservatory;01;10;
K:LCD-2014-1331*3;Plantago arborescens;Princess of Wales Conservatory;03;13;
K:LCD-1994-259*3;Pelargonium reniforme subsp. reniforme;Princess of Wales Conservatory;03;09;
K:LCD-1953-40702*2;Anchomanes difformis;Princess of Wales Conservatory;01;08;
K:LCD-1958-33503*2;Aglaomorpha splendens;Princess of Wales Conservatory;04;10;
K:LCD-2001-3589*3;Musa rubra;Princess of Wales Conservatory;01;05;
K:LCD-1973-13122*1;Anthurium regale;Princess of Wales Conservatory;04;09;
K:LCD-1982-233*3;Asystasia gangetica subsp. micrantha;Princess of Wales Conservatory;01;01;
K:LCD-2012-943*2;Vriesea 'Petit';Princess of Wales Conservatory;01;03;
K:LCD-1953-8403*2;Polypodium formosanum;Princess of Wales Conservatory;04;08;
K:LCD-1978-155*7;Anthurium cordatum;Princess of Wales Conservatory;04;08;
K:LCD-2001-2747*1;Sarracenia minor 'Okefenokee Giant';Princess of Wales Conservatory;09;02;
