Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date,StandardDateISO,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
ALIVE,1985-2070,K:LCD-1985-2070*3,Lotus berthelotii,Lotus berthelotii,Lotus,Fabaceae,,,,29-12-2024,TropicalNursery_Simplified.xlsx,1985,1985-01-01,BestMatch,9.41215,Exact,0,Lotus berthelotii,Lotus berthelotii Masf.,Lotus berthelotii,72NZH,Lotus berthelotii Masf.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lotus|Lotus berthelotii,
ALIVE,2002-2685,K:LCD-2002-2685*1,Adenium obesum,Adenium obesum,Adenium,Apocynaceae,,,,12-02-2024,TropicalNursery_Simplified.xlsx,2002,2002-01-01,BestMatch,9.41215,Exact,0,Adenium obesum,Adenium obesum (Forssk.) Roem. & Schult.,Adenium obesum,64R2Q,Adenium obesum (Forssk.) Roem. & Schult.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Apocynoideae|Adenium|Adenium obesum,
ALIVE,2001-3853,K:LCD-2001-3853*2,Selenicereus validus,Selenicereus validus,Selenicereus,Cactaceae,,,,28-07-2025,TropicalNursery_Simplified.xlsx,2001,2001-01-01,BestMatch,9.41215,Exact,0,Selenicereus validus,Selenicereus validus S. Arias & U. Guzmán,Selenicereus validus,6YBXR,Selenicereus validus S. Arias & U. Guzmán,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Selenicereus|Selenicereus validus,
ALIVE,1973-13709,K:LCD-1973-13709*4,Vanilla imperialis,Vanilla imperialis,Vanilla,Orchidaceae,,,,16-01-2025,TropicalNursery_Simplified.xlsx,1973,1973-01-01,BestMatch,9.41215,Exact,0,Vanilla imperialis,Vanilla imperialis Kraenzl.,Vanilla imperialis,7FGSW,Vanilla imperialis Kraenzl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Vanilla|Vanilla imperialis,
ALIVE,2005-148,K:LCD-2005-148*1,,Pelargonium 'Lemon Sherbert',Pelargonium,Geraniaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,2005,2005-01-01,BestMatch,9.41215,Exact,0,Pelargonium 'Lemon Sherbert',Pelargonium L'Hér.,Pelargonium,6K7C,Pelargonium L'Hér.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Pelargonium,
ALIVE,1993-3437,K:LCD-1993-3437*1,,Jasminum polyanthum 'Harlequin',Jasminum,Oleaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,1993,1993-01-01,BestMatch,9.41215,Exact,0,Jasminum polyanthum 'Harlequin',Jasminum polyanthum Franch.,Jasminum polyanthum,3QMP4,Jasminum polyanthum Franch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Jasminum|Jasminum polyanthum,
ALIVE,2013-576,K:LCD-2013-576*4,Citrus hystrix,Citrus hystrix,Citrus,Rutaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,2013,2013-01-01,BestMatch,9.41215,Exact,0,Citrus hystrix,Citrus hystrix DC.,Citrus hystrix,VMKD,Citrus hystrix DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Rutaceae|Aurantioideae|Citrus|Citrus hystrix,
ALIVE,2014-1360,K:LCD-2014-1360*1,Alyogyne,Alyogyne,Alyogyne,Malvaceae,,,Australia,25-07-2025,TropicalNursery_Simplified.xlsx,2014,2014-01-01,BestMatch,9.41180,Exact,0,Alyogyne,Alyogyne Alef.,Alyogyne,CPYYC,Hibiscus L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibiscus,
ALIVE,1997-6061,K:LCD-1997-6061*1,Deamia chontalensis,Strophocactus chontalensis,Strophocactus,Cactaceae,,N - Natural Source and Progeny,Mexico,24-07-2025,TropicalNursery_Simplified.xlsx,1997,1997-01-01,BestMatch,9.41180,Exact,0,Strophocactus chontalensis,Strophocactus chontalensis (Alexander) Ralf Bauer,Strophocactus chontalensis,535PH,Selenicereus chontalensis (Alexander) Kimnach,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Selenicereus|Selenicereus chontalensis,
ALIVE,1988-1945,K:LCD-1988-1945*1,Begonia diadema,Begonia diadema,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx,1988,1988-01-01,BestMatch,9.41215,Exact,0,Begonia diadema,Begonia diadema Linden,Begonia diadema,7SFDH,Begonia diadema Linden,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Begoniaceae|Begonia|Begonia diadema,
