Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;2013-576;K:LCD-2013-576*3;Citrus hystrix;Citrus hystrix;Citrus;Rutaceae;;;;25-07-2025
ALIVE;2019-2286;K:LCD-2019-2286*6;Campanula kachethica;Campanula kachethica;Campanula;Campanulaceae;;N - Natural Source and Progeny;Georgia;16-07-2025
ALIVE;2018-917;K:LCD-2018-917*1;Rubiaceae;Rubiaceae;;Rubiaceae;;N - Natural Source and Progeny;Vietnam;16-07-2025
ALIVE;2010-568;K:LCD-2010-568*1;Magnolia × alba;Magnolia × alba;Magnolia;Magnoliaceae;;;Mexico;16-07-2025
ALIVE;2015-1496;K:LCD-2015-1496*1;Lygodium japonicum;Lygodium japonicum;Lygodium;Schizaeaceae;;N - Natural Source and Progeny;Vietnam;15-07-2025
ALIVE;1961-48702;K:LCD-1961-48702*3;Impatiens campanulata;Impatiens campanulata;Impatiens;Balsaminaceae;;;;15-07-2025
ALIVE;2000-384;K:LCD-2000-384*1;;Hedychium × raffillii 'C. P. Raffill';Hedychium;Zingiberaceae;;;;15-07-2025
ALIVE;1963-67306;K:LCD-1963-67306*6;Arachniodes chinensis;Arachniodes chinensis;Arachniodes;Polypodiaceae;;;;15-07-2025
ALIVE;1966-21802;K:LCD-1966-21802*2;Clematis buchananiana;Clematis buchananiana;Clematis;Ranunculaceae;;N - Natural Source and Progeny;Nepal;18-07-2024
ALIVE;1989-3952;K:LCD-1989-3952*2;Kadsura japonica;Kadsura japonica;Kadsura;Schisandraceae;;N - Natural Source and Progeny;Japan;24-05-2024
ALIVE;1985-5438;K:LCD-1985-5438*1;Dioscorea deltoidea;Dioscorea deltoidea;Dioscorea;Dioscoreaceae;;N - Natural Source and Progeny;India;15-07-2025
ALIVE;1946-26101;K:LCD-1946-26101*1;Stephania glandulifera;Stephania glandulifera;Stephania;Menispermaceae;;;;24-05-2024
ALIVE;1985-4543;K:LCD-1985-4543*1;Berchemia polyphylla var. leioclada;Berchemia polyphylla var. leioclada;Berchemia;Rhamnaceae;;N - Natural Source and Progeny;China;24-05-2024
