Genre_nouveau;Sps_nouveau;Famille
Abies;alba;Pinaceae
Abies;balsamea;Pinaceae
Abies;cephalonica;Pinaceae
Abies;cilicica;Pinaceae
Abies;fraseri;Pinaceae
Abies;koreana;Pinaceae
Abies;nordmanniana;Pinaceae
Abies;numidica;Pinaceae
Abies;pinsapo;Pinaceae
Abies;sachalinensis;Pinaceae
Abies;spectabilis;Pinaceae
Acaena;adcendes;Rosaceae
Acaena;adscendens;Rosaceae
Acaena;anserinifolia;Rosaceae
Acaena;argentea;Rosaceae
Acaena;buchananii;Rosaceae
Acaena;caesiglanca;Rosaceae
Acaena;fissistipula;Rosaceae
Acaena;inermis;Rosaceae
Acaena;magellanica;Rosaceae
Acaena;microphylla;Rosaceae 
Acaena;muttifida;Rosaceae
Acaena;myriophylla;Rosaceae
Acaena;orolifolia;Rosaceae
Acaena;ovalifolia;Rosaceae
Acaena;pinnatifida;Rosaceae
Acantholimon;androsaceum;Plumbaginaceae
Acantholimon;glumaceum;Plumbaginaceae
Aceana;pinnatifida;
Acena;magelanica;
Acer;campestre;Aceraceae
Acer;monspessulanum;Aceraceae
Acer;opalus;Sapindaceae 
Acer;opalus;Aceraceae
Acer;platanoides;Aceraceae
Acer;pseudoplatanus;Aceraceae
Achillea;abrotanoida;Asteraceae
Achillea;ageratifolia;Asteraceae
Achillea;argentea;Asteraceae
Achillea;atrata;Asteraceae
Achillea;clavennae;Asteraceae
Achillea;clypeolata;Asteraceae
Achillea;dutoitii;Asteraceae
Achillea;erba-rotta;Asteraceae
Achillea;herba;Asteraceae
Achillea;impunctata;Asteraceae
Achillea;kellereri;Asteraceae
Achillea;kolbiana;Asteraceae
Achillea;marschlinsii;Asteraceae
Achillea;millefolium;Asteraceae
Achillea;nana;Asteraceae
Achillea;nobilis;Asteraceae
Achillea;ochroleuca;Asteraceae
Achillea;odorata;Asteraceae
Achillea;ptarmica;Asteraceae
Achillea;pyrenaica;Asteraceae
Achillea;setacea;Asteraceae
Achillea;setacea;Compositae 
Achillea;tomentosa;Asteraceae
Achillea;wilczekii;Asteraceae
Achillea;;Asteraceae
Achillea;argentea;Asteraceae
Achillea;kellereri;Asteraceae
Acinos;alpinus;Lamiaceae 
Acinos;arvensis;Lamiaceae 
Aconitum;_;Ranunculaceae 
Aconitum;altissiumum;Ranunculaceae
Aconitum;grignae;Ranunculaceae
Aconitum;napellus;Ranunculaceae
Aconitum;napellus;Ranunculaceae 
Aconitum;paniculatum;Ranunculaceae 
Aconitum;stoerkeanum;Ranunculaceae
Actacea;rubra;Ranunculaceae
Actaea;alba;Ranunculaceae
Actaea;rubra;Ranunculaceae
Actaea;heracleifolia;Ranunculaceae
Actaea;pachypoda;Ranunculaceae
Adenophora;stylora;Campanulaceae
Adenophora;tetraphylla;
Adenostyles;alliariae;Asteraceae
Adenostyles;alpina;Asteraceae
Adenostyles;leucophylla;Asteraceae
Adiantum;pedatum;Polypodiaceae
Adonis;amurensis;Ranunculaceae
Adonis;pyrenaica;Ranunculaceae
Adonis;vernalis;Ranunculaceae
Adonis;vernalis;Ranunculaceae 
Aegopodium;podagraria;Apiaceae
Aellanthenum;pyrenaeicum;Brassicaceae
Aethionema;antitaurus;Brassicaceae
Aethionema;arabicum;Brassicaceae 
Aethionema;armenum;Cruciferae
Aethionema;cappadocicum;Brassicaceae
Aethionema;cordatum;Brassicaceae
Aethionema;cordifolium;Brassicaceae
Aethionema;diastrophis;Brassicaceae
Aethionema;grandiflora;Brassicaceae
Aethionema;grandiflorum;Brassicaceae
Aethionema;iberideum;Brassicaceae 
Aethionema;saxatile;Brassicaceae 
Aethionema;stylorum;Brassicaceae
Aethionema;thomasiana;Brassicaceae
Aethionema;thomasianum;Brassicaceae
Aflartuwa;ulmifolia;
Agrimonia;eupatoria;Rosaceae
Agrimonia;gryposepala;Rosaceae
Agrimonia;pilos;Rosaceae
Agrimonia;procera;Rosaceae
Agropyron;sp;Poaceae
Agrostis;alpina;Poaceae
Agrostis;capillaris;Poaceae
Agrostis;curtisii;Poaceae
Agrostis;gigantea;Poaceae
Agrostis;rupestris;Poaceae
Agrostis;stolonifera;Poaceae
Aillium;hymenorrhizum,;Liliaceae
Ainus;rubra;Betulaceae
Ajuga;genevensis;Lamiaceae 
Alchemilla;acutidens;Rosaceae
Alchemilla;alpina;Rosaceae
Alchemilla;basaltica;Rosaceae
Alchemilla;bulgarica;Rosaceae
Alchemilla;caucasica;Rosaceae 
Alchemilla;conjuncta;Rosaceae
Alchemilla;coriacea;Rosaceae 
Alchemilla;decumbens;Rosaceae
Alchemilla;fabellata;Rosaceae
Alchemilla;glabra;Rosaceae
Alchemilla;hoppeana;Asteraceae
Alchemilla;hybrida;Asteraceae
Alchemilla;lapeyrousii;Rosaceae
Alchemilla;nitida;Rosaceae
Alchemilla;plicata;Rosaceae
Alchemilla;polens;Rosaceae
Alchemilla;saxatilis;Rosaceae
Alchemilla;serbica;Rosaceae
Alchemilla;sp.;Rosaceae
Alchemilla;subsericea;Rosaceae
Alchemilla;Thyttantha;Rosaceae
Alchemilla;vetteri;Rosaceae
Alchemilla;vulgaris;Rosaceae 
Alchemilla;xanthochlora;Rosaceae 
Alchemilla;;Rosaceae 
Aleum;flavum;
Aleum;sibiricum;
Alium;flavum;Liliaceae 
Alium;heldreichii;Liliaceae
Alleum;carinatum;Liliaceae
Allium;acutangulum;Liliaceae
Allium;angulosum;Liliaceae
Allium;caeruleum;Liliaceae
Allium;canadense;Liliaceae
Allium;carinatum;Amaryllidaceae
Allium;carinatum;Liliaceae
Allium;cernuum;Liliaceae
Allium;cernuum;Amaryllidaceae
Allium;Coloratum;Amaryllidaceae
Allium;cyaneleum;Liliaceae
Allium;cyathophorum;Amaryllidaceae
Allium;cyathophorum;Liliaceae
Allium;ensubricum;Liliaceae
Allium;ericetorum;Amaryllidaceae
Allium;flavum;Amaryllidaceae
Allium;flavum;Liliaceae
Allium;heldreichii;Amaryllidaceae
Allium;hymenorhizum;Amaryllidaceae
Allium;insubricum;Amaryllidaceae
Allium;insubricum;Liliaceae
Allium;komarovianum;Liliaceae
Allium;ledebourianum;Liliaceae
Allium;lineare;Amaryllidaceae
Allium;lusitanicum;Liliaceae
Allium;lusitanicum;Amaryllidaceae
Allium;moly;Amaryllidaceae
Allium;moly;Liliaceae
Allium;montanum;Liliaceae
Allium;narcissiflorum;Amaryllidaceae
Allium;nutans;Liliaceae
Allium;nutans;Amaryllidaceae
Allium;ochroleucum;Liliaceae
Allium;oleraceum;Amaryllidaceae
Allium;pendulinum;Amaryllidaceae
Allium;platyspathum;Amaryllidaceae
Allium;polyphyllum;Amaryllidaceae
Allium;polyphyllum;Liliaceae
Allium;scaberrimum;Amaryllidaceae
Allium;schoenoprasum;Amaryllidaceae
Allium;schoenoprasum;Liliaceae
Allium;senescens;Amaryllidaceae
Allium;senescens;Liliaceae
Allium;sibiricum;Liliaceae
Allium;sphaerocephalon;Amaryllidaceae
Allium;suaveolens;Liliaceae
Allium;ursinum;Amaryllidaceae
Allium;victorialis;Liliaceae
Allium;vineale;Amaryllidaceae
Allyssum;spinosum;Brassicaceae
Alnus;rubra;Betulaceae
Alnus;rugosa;Betulaceae
Alnus;viridis;Betulaceae 
Alopecurus;gerardi;Poaceae
Althaea;armeniaca;Malvaceae
Althaea;officinalis;Malvaceae 
Alyssoides;graeca;Brassicaceae
Alyssoides;utriculata;Brassicaceae
Alyssum;alpestre;Brassicaceae
Alyssum;argenteum;Brassicaceae
Alyssum;cuneifolium;Brassicaceae
Alyssum;montanum;Brassicaceae
Alyssum;murale;Brassicaceae 
Alyssum;saxatile;Brassicaceae
Alyssum;saxatilis;Brassicaceae
Alyssum;wulfenianum;Brassicaceae 
Amelanchier;canadensis;Rosaceae
Amelanchier;ovalis;Rosaceae 
Ameria;canescens;Plumbaginaceae
Anacylclus;depressus;
Anagallis;tenella;Primulaceae 
Anaphalis;cinnamomea;Asteraceae
Anaphalis;margaritacea;Asteraceae
Anaphalis;triplinervis;Asteraceae
Anarrhinum;bellidifolium;Plantaginaceae 
Anarrhinum;corsicum;Plantaginaceae 
Andrachne;colchica;Euphorbiaceae
Androcacea;cama;Primulaceae
Andromeda;polifolia;Ericaceae
Androsace;albana;Primulaceae 
Androsace;alpina;Primulaceae 
Androsace;carnea;Primulaceae
Androsace;chamaejasme;Primulaceae
Androsace;foliosa;Primulaceae
Androsace;helvetica;Primulaceae 
Androsace;kaso-polijanskii;Primulaceae 
Androsace;lactea;Primulaceae
Androsace;lactea;Primulaceae 
Androsace;languinosa;Primulaceae
Androsace;mollis;Primulaceae
Androsace;obtusifolia;Primulaceae 
Androsace;oculata;Primulaceae
Androsace;primuliflores;Primulaceae
Androsace;primuloides;Primulaceae
Androsace;sarmentosa;Primulaceae
Androsace;sempervivoides;Primulaceae
Androsace;septentrionalis;Primulaceae 
Androsace;strigillosa;Primulaceae 
Androsace;villosa;Primulaceae
Androsace;vitaliana;Primulaceae
Androsacea;sempervivoides;Primulaceae 
Androsaceae;pinuloid.;Primulaceae
Androsaceae;sarmentosa;Primulaceae
Androsaceae;strigillosa;Primulaceae
Anemonastrum;crinitum;Ranunculaceae
Anemone;altaica;Ranunculaceae
Anemone;baldensis;Ranunculaceae 
Anemone;barbulata;Ranunculaceae
Anemone;cylindrica;Ranunculaceae
Anemone;fasciculata;Ranunculaceae
Anemone;globosa;Ranunculaceae
Anemone;halleri;Ranunculaceae 
Anemone;hepatica;Ranunculaceae 
Anemone;hupehensis;Ranunculaceae
Anemone;leveillei;Ranunculaceae
Anemone;multifida;Ranunculaceae
Anemone;narcissiflolia;Ranunculaceae
Anemone;narcissiflora;Ranunculaceae
Anemone;nemorosa;Ranunculaceae
Anemone;pulsatilla;Ranunculaceae 
Anemone;rivularis;Ranunculaceae
Anemone;rupicola;Ranunc.
Anemone;scabiosa;Ranunculaceae 
Anemone;silvestris;Ranunculaceae
Anemone;sylvestris;Ranunculaceae
Anemone;tetrasepala;Ranunculaceae
Anemone;tomentosa;Ranunculaceae
Angelica;acutiloba;Apiaceae
Angelica;florentii;Apiaceae
Angelica;pubescens;Apiaceae
Angelica;razulii;Apiaceae
Antennaria;carpatica;Asteraceae
Antennaria;chilensis;Asteraceae
Antennaria;gaspensis;Asteraceae
Antennaria;hansii;Asteraceae
Antennaria;howellii;Asteraceae
Antennaria;magellanica;Asteraceae
Antennaria;nebrascensis;Asteraceae
Antennaria;neglecta;Asteraceae
