Numéro de spécimen cultivé;Détermination acceptée;famille;Familie Citation d'auteurs;genre;Genre Citation d'auteurs;Genre Hybride;espece;Espèce Citation d'auteurs;Espèce Hybride;Sous-espèce;Sous-espèce Citation d'auteurs;Sous-espèce Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Code ipen;Secteur
19851217J0;Paeonia lactiflora Pall.;Paeoniaceae;Raf.;Paeonia;L.;;lactiflora;Pall.;;;;;;;;XX0G19851217;Rocailles
19851261J0;Paeonia algeriensis Chabert;Paeoniaceae;Raf.;Paeonia;L.;;algeriensis;Chabert;;;;;;;;XX0G19851261;Rocailles
19896633N0;Rudbeckia L.;Asteraceae;Giseke;Rudbeckia;L.;;;;;;;;;;;US0G19896633;Rocailles
19851216J0;Paeonia macrophylla (Albov) Lomakin;Paeoniaceae;Raf.;Paeonia;L.;;macrophylla;(Albov) Lomakin;;;;;;;;XX0G19851216;Rocailles
19851260J0;Paeonia tenuifolia L.;Paeoniaceae;Raf.;Paeonia;L.;;tenuifolia;L.;;;;;;;;XX0G19851260;Rocailles
19851262J0;Paeonia mascula subsp. arietina (G.Anderson) Cullen & Heywood;Paeoniaceae;Raf.;Paeonia;L.;;mascula;(L.) Mill.;;arietina;(G.Anderson) Cullen & Heywood;;subsp.;;;XX0G19851262;Rocailles
19896640N0;Geranium macrorrhizum L.;Geraniaceae;Juss.;Geranium;L.;;macrorrhizum;L.;;;;;;;;BG0G19896640;Agriculture et Conservation
19851220N0;Paeonia officinalis subsp. microcarpa (Boiss. & Reut.) Nyman;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;microcarpa;(Boiss. & Reut.) Nyman;;subsp.;;;ES0G19851220;Rocailles
19896638N0;Dianthus petraeus subsp. noeanus (Boiss.) Tutin;Caryophyllaceae;Juss.;Dianthus;L.;;petraeus;Waldst. & Kit.;;noeanus;(Boiss.) Tutin;;subsp.;;;BG0G19896638;Rocailles
19851265J0;Paeonia delavayi Franch.;Paeoniaceae;Raf.;Paeonia;L.;;delavayi;Franch.;;;;;;;;XX0G19851265;Rocailles
19851205H0;Paeonia ×lemoinei Rehder  'Souvenir du Professeur Maxime Cornu';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Souvenir du Professeur Maxime Cornu;XX0G19851205;Rocailles
19851203H0;Paeonia ×lemoinei Rehder  'Mine d'Or';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Mine d'Or;XX0G19851203;Rocailles
19870860J0;Paeonia intermedia C.A.Mey.;Paeoniaceae;Raf.;Paeonia;L.;;intermedia;C.A.Mey.;;;;;;;;XX0G19870860;Rocailles
19860241N0;Silene viscaria (L.) Borkh.;Caryophyllaceae;Juss.;Silene;L.;;viscaria;(L.) Borkh.;;;;;;;;GR0G19860241;Rocailles
19851266I0;Paeonia delavayi Franch.;Paeoniaceae;Raf.;Paeonia;L.;;delavayi;Franch.;;;;;;;;XX0G19851266;Rocailles
19870855J0;Paeonia daurica subsp. macrophylla (Albov) D.Y.Hong;Paeoniaceae;Raf.;Paeonia;L.;;daurica;Andrews;;macrophylla;(Albov) D.Y.Hong;;subsp.;;;XX0G19870855;Rocailles
19851202H0;Paeonia ×lemoinei Rehder  'Renkaku';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Renkaku;XX0G19851202;Rocailles
19851204H0;Paeonia ×lemoinei Rehder  'La Lorraine';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;La Lorraine;XX0G19851204;Rocailles
19870865N0;Paeonia officinalis subsp. huthii Soldano;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;huthii;Soldano;;subsp.;;;FR0G19870865;Rocailles
19851206H0;Paeonia ×lemoinei Rehder  'Sang Lorrain';Paeoniaceae;Raf.;Paeonia;L.;;×lemoinei;Rehder;VRAI;;;;notho;;Sang Lorrain;XX0G19851206;Rocailles
19887661N0;Astragalus glycyphyllos L.;Fabaceae;;Astragalus;;;glycyphyllos;;;;;;;;;CH0G19887661;Rocailles
19896696N0;Silene vlokii D.Masson;Caryophyllaceae;Juss.;Silene;L.;;vlokii;D.Masson;;;;;;;;ZA0G19896696;Rocailles
20110479N0;Carex spicata Huds.;Cyperaceae;Juss.;Carex;L.;;spicata;Huds.;;;;;;;;NO0G20110479;Rocailles
19861687H0;Iris L.  'Lilli-White';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Lilli-White;XX0G19861687;Entretien général et dendrologie
19800988J1;Elaeagnus angustifolia L.;Elaeagnaceae;Juss.;Elaeagnus;L.;;angustifolia;L.;;;;;;;;XX0G19800988;Entretien général et dendrologie
19887422N0;Dianthus carthusianorum L.;Caryophyllaceae;;Dianthus;;;carthusianorum;;;;;;;;;CH0G19887422;Rocailles
19861612H0;Iris L.  'Spring Waltz';Iridaceae;Juss.;Iris;L.;;;;;;;;;;Spring Waltz;XX0G19861612;Entretien général et dendrologie
19888161N0;Pistacia terebinthus L.;Anacardiaceae;;Pistacia;;;terebinthus;;;;;;;;;FR0G19888161;Rocailles
19860255J0;Paeonia anomala subsp. veitchii (Lynch) D.Y.Hong & K.Y.Pan;Paeoniaceae;Raf.;Paeonia;L.;;anomala;L.;;veitchii;(Lynch) D.Y.Hong & K.Y.Pan;;subsp.;;;XX0G19860255;Rocailles
19896423J0;Ostrya virginiana (Mill.) K.Koch;Betulaceae;Gray;Ostrya;Scop.;;virginiana;(Mill.) K.Koch;;;;;;;;XX0G19896423;Entretien général et dendrologie
19814362N0;Campsis radicans (L.) Seem.;Bignoniaceae;Juss.;Campsis;Lour.;;radicans;(L.) Seem.;;;;;;;;XX0G19814362;Serres
19860210J0;Paeonia officinalis L.;Paeoniaceae;Raf.;Paeonia;L.;;officinalis;L.;;;;;;;;XX0G19860210;Rocailles
19896522I0;Akebia quinata (Houtt.) Decne.;Lardizabalaceae;R.Br.;Akebia;Decne.;;quinata;(Houtt.) Decne.;;;;;;;;XX0G19896522;Serres
19896523I0;Passiflora caerulea L.;Passifloraceae;Juss. ex Roussel;Passiflora;L.;;caerulea;L.;;;;;;;;XX0G19896523;Serres
19906048N0;Allium oreoprasum Schrenk;Amaryllidaceae;J.St.-Hil.;Allium;L.;;oreoprasum;Schrenk;;;;;;;;IN0G19906048;Rocailles
19896442I0;Lagerstroemia indica L.;Lythraceae;J.St.-Hil.;Lagerstroemia;L.;;indica;L.;;;;;;;;XX0G19896442;Agriculture et Conservation
19860852J0;Paeonia obovata Maxim.;Paeoniaceae;Raf.;Paeonia;L.;;obovata;Maxim.;;;;;;;;XX0G19860852;Rocailles
19906069N0;Hymenanthera alpina (Kirk) Garn.-Jones;Violaceae;Batsch;Hymenanthera;R.Br.;;alpina;(Kirk) Garn.-Jones;;;;;;;;XX0G19906069;Entretien général et dendrologie
19880101N0;Brachypodium sylvaticum P.Beauv.;Poaceae;Barnhart;Brachypodium;P.Beauv.;;sylvaticum;P.Beauv.;;;;;;;;AM0G19880101;Rocailles
19896433N0;Potentilla erecta (L.) Raeusch.;Rosaceae;Juss.;Potentilla;L.;;erecta;(L.) Raeusch.;;;;;;;;IT0G19896433;Entretien général et dendrologie
19814257J0;Jovibarba sobolifera (Sims) Opiz;Crassulaceae;J.St.-Hil.;Jovibarba;(DC.) Opiz;;sobolifera;(Sims) Opiz;;;;;;;;XX0G19814257;Rocailles
20110416N0;Festuca airoides Lam.;Poaceae;Barnhart;Festuca;L.;;airoides;Lam.;;;;;;;;AT0G20110416;Rocailles
