"Code.emplacement","No.Semis","Taxons","Nom.acquisition","genus","family"
"AquaGrd-BassinBras","221125","Caltha palustris","Caltha palustris","Caltha","Ranunculaceae"
"AquaGrd-BassinBras","220372","Lycopus europaeus","Ranunculus montanus aggr.","Lycopus","Lamiaceae"
"AquaGrd-BassinBras","221886","Pulicaria dysenterica","Pulicaria dysenterica ","Pulicaria","Asteraceae"
"AquaGrd-BassinBras","98577","Stellaria holostea","Stellaria holostea","Stellaria","Caryophyllaceae"
"AquaGrd-BassinBras","221535","Senecio erraticus","Senecio erraticus","Senecio","Asteraceae"
"AquaGrd-BassinBras","221234","Pleione formosana","Pleione formosana","Pleione","Orchidaceae"
"AquaGrd-BassinBras","216017","Carex pulicaris","Carex pumila","Carex","Cyperaceae"
"AquaGrd-BassinEtang","221077","Butomus umbellatus","Butomus umbellatus L.","Butomus","Butomaceae"
"AquaGrd-BassinEtang","221081","Glandora rosmarinifolia","Lithodora rosmarinifolia","Glandora","Boraginaceae"
"AquaMarais","220038","Hottonia palustris","Hottonia palustris","Hottonia","Primulaceae"
"AquaMarais","221725","Pilularia globulifera ","Pilularia globulifera L.",NA,NA
"AquaTourbièreA
0","206871","Erica tetralix","Erica tetrlix","Erica","Ericaceae"
"AquaTourbièreA0","206872","Potentilla palustris","Potentilla palustris","Potentilla","Rosaceae"
"AquaTourbièreA10","90862","Vinca minor","Vinca minor L.","Vinca","Apocynaceae"
"AquaTourbièreA10","90864","Salix x cotteti","Salix x cottetii",NA,NA
"AquaTourbièreA10","221735","Vaccinium uliginosum","Vaccinium uliginosum","Vaccinium","Ericaceae"
"AquaTourbièreA10","220090","Ledum palustre","Ledum palustre L.","Ledum","Ericaceae"
"AquaTourbièreA10","221190","Vicia sepium","Vicia sepium L.","Vicia","Fabaceae"
"AquaTourbièreA10","221188","","Vicia hirsuta",NA,NA
"AquaTourbièreA10","90863","Morus alba var. pendula","Morus nigra cv. ‘'Pendula'‘","Morus","Moraceae"
"AquaTourbièreA10","216099","Ornithogalum umbellatum","Ornithogalum umbellatum","Ornithogalum","Asparagaceae"
"AquaTourbièreA10","222068","Eleocharis palustris","Eleocharis palustris","Eleocharis","Cyperaceae"
"AquaTourbièreA10","219031","Carex pallescens","Carex pallescens","Carex","Cyperaceae"
"AquaTourbièreA10","217210","Cladium mariscus","Cladium mariscus","Cladium","Cyperaceae"
"AquaTourbièreA10","221002","Iris sibirica","Iris sibirica","Iris","Iridaceae"
"AquaTourbièreA10","221002","Iris sibirica","Iris sibirica","Iris","Iridaceae"
"AquaTourbièreA10","206874","Erica vagans","Erica vagans","Erica","Ericaceae"
"AquaTourbièreP03","222051","Carex alba","Carex alba","Carex","Cyperaceae"
"Arboretum","90888","Corydalis lutea","Corydalis lutea (L.) DC.","Corydalis","Papaveraceae"
"ArboretumCouchant1","200451","Fagus sylvatica var. atropurpurea","Fagus  sylvatica L.atropurpurea",NA,NA
"ArboretumCouchant1","200452","Poncirus trifoliata","Poncirus trifoliata (L.) Raf.","Poncirus","Rutaceae"
"ArboretumCouchant1","200453","Populus alba","Populus alba L.","Populus","Salicaceae"
"ArboretumCouchant1","200454","Pinus cembra","Pinus cembra L.","Pinus","Pinaceae"
"ArboretumCouchant1","200455","Pinus wallichiana","Pinus wallichiana A.B. Jacks.","Pinus","Pinaceae"
"ArboretumCouchant1","751857","Rhododendron catawbiense","Rhododendron catawbiense Michx.","Rhododendron","Ericaceae"
"ArboretumCouchant1","200457","Gaultheria x wisleyensis","Gaultheria x wisleyensis Marchant ex D.J. Middleton","Gaultheria","Ericaceae"
"ArboretumCouchant1","75919","Clethra alnifolia","Clethra alnifolia L.","Clethra","Clethraceae"
"ArboretumCouchant1","200460","Digitalis purpurea","Digitalis purpurea L.","Digitalis","Plantaginaceae"
"ArboretumCouchant1","200461","Acer saccharum","Acer saccharum Marsh. subsp. saccharum ","Acer","Sapindaceae"
"ArboretumCouchant1","200463","Ilex aquifolium","Ilex aquifolium L.","Ilex","Aquifoliaceae"
"ArboretumCouchant1","200464","Ilex aquifolium","Ilex  aquifolium L.","Ilex","Aquifoliaceae"
"ArboretumCouchant1","200465","Ilex aquifolium","Ilex aquifolium L.","Ilex","Aquifoliaceae"
"ArboretumCouchant2","200472","Nothofagus obliqua","Nothofagus obliqua (Bl.) Oerst.","Nothofagus","Nothofagaceae"
"ArboretumCouchant2","200473","Metasequoia glyptostroboides","Metasequoia glyptostroboides Hu et Cheng","Metasequoia","Cupressaceae"
"ArboretumCouchant2","200508","Ribes alpinum","Ribes alpinum L.","Ribes","Grossulariaceae"
"ArboretumCouchant2","200510","Ribes uva-crispa","Ribes uva-crispa L.","Ribes","Grossulariaceae"
"ArboretumCouchant2","200509","Prunus padus","Prunus padus L.","Prunus","Rosaceae"
"ArboretumCouchant2","205509","Salix purpurea","Salix purpurea","Salix","Salicaceae"
"ArboretumCouchant2","205510","Salix elaeagnos ‘Angustifolia’","Salix eleagnos cv. ‘angustifolia‘",NA,NA
"ArboretumCouchant2","200484","Lonicera caerulea","Lonicera caerulea L.","Lonicera","Caprifoliaceae"
"ArboretumCouchant3","200466","Salix caprea","Salix caprea L.","Salix","Salicaceae"
"ArboretumCouchant3","200467","Symplocos paniculata","Symplocos paniculata (Thunb.) Miq.","Symplocos","Symplocaceae"
"ArboretumCouchant3","200468","Rosa pendulina","Rosa pendulina L.","Rosa","Rosaceae"
"ArboretumCouchant3","200469","Sambucus nigra","Sambucus nigra L.","Sambucus","Viburnaceae"
"ArboretumCouchant3","200470","Salix caprea","Salix caprea L.","Salix","Salicaceae"
"ArboretumCouchant3","200471","Nothofagus sp.","Nothofagus ",NA,NA
"ArboretumCouchant3","200474","Listera ovata","Listera ovata (L.) R. Br.","Listera","Orchidaceae"
"ArboretumCouchant3","200475","Castanea sativa","Castanea sativa Miller","Castanea","Fagaceae"
"ArboretumCouchant3","200476","Viburnum opulus","Viburnum opulus","Viburnum","Viburnaceae"
"ArboretumCouchant3","200477","Cornus mas","Cornus mas L.","Cornus","Cornaceae"
"ArboretumCouchant3","200478","Corylus avellana","Corylus avellana L.","Corylus","Betulaceae"
"ArboretumCouchant3","200479","Prunus mahaleb","Prunus mahaleb L.","Prunus","Rosaceae"
"ArboretumCouchant3","200480","Cornus mas","Cornus mas L.","Cornus","Cornaceae"
"ArboretumCouchant3","200481","Viburnum lantana","Viburnum lantana L.","Viburnum","Viburnaceae"
"ArboretumCouchant3","200482","Sorbus domestica","Sorbus domestica L.","Sorbus","Rosaceae"
