sample_id,mzml_filename,mzbatch_path,batch_id,injection_date,scientific_name,taxon_scientific_name,taxon_accepted_name,taxon_rank,genus,specific_epithet,infraspecific_epithet,infraspecific_rank,kingdom,phylum,class,order,family,gbif_taxon_key,ncbi_taxid,gbif_match_type,taxonomy_backbone_version,id_date,identification_method,identification_confidence,collection_date,latitude,longitude,coordinate_uncertainty_m,geodetic_datum,plant_part,po_term_id,developmental_stage,phenology,n_individuals_pooled,pathogen_visible,fresh_weight_g,preservation_method,time_to_preservation_min,transport_conditions,storage_temp_c,storage_duration_d,grinding_method,dry_weight_mg,extraction_volume_ml,extraction_method_id,extraction_batch,uuid_extraction,extraction_solvent,extraction_ratio_mg_per_ml,extraction_conditions,extraction_date,extraction_operator,extract_storage,lc_vendor,lc_model,chromatography_type,column_name,stationary_phase,column_temp_c,mobile_phase_a,mobile_phase_b,gradient_program,flow_rate_ml_min,injection_volume_ul,run_time_min,lc_software,instrument_model,mass_analyzer,ionization_source,acquisition_mode,fragmentation_method,collision_energy,mass_range_mz,ms_scan_time_s,msms_scan_time_s,dda_top_n,ms2_intensity_threshold_cps,dynamic_exclusion_s,background_exclusion,mass_accuracy_ppm,raw_conversion_tool,centroided,mzmine_version,ms1_detector,mzmine_noise_ms1,mzmine_noise_ms2,chrom_mz_abs_da,chrom_mz_ppm,chrom_min_height,chrom_min_scans,rt_range,resolver_thresh,resolver_min_h,align_mz_abs_da,align_mz_ppm,align_rt_tol_min,mz_tol_scan_to_scan,mz_tol_sample_to_sample,processing_software,processing_params_file,qc_sample_type,qc_conditioning_n,qc_frequency,randomization,internal_standard,phylo_tip_label,ott_id_matched,evolutionary_distinctiveness,nearest_neighbour,iucn_category,iucn_assessment_year,cites_appendix,massive_accession,abs_permit_id,data_license,garden,dataset
dbgi_001368,20262605_dbgi_001368_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Vaccinium myrtillus L.,Vaccinium myrtillus,Vaccinium myrtillus L.,species,Vaccinium,myrtillus,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,2882833,NA,EXACT,GBIF Backbone 2023-08-28,20250729130010,botanical_garden_ID,certain,20250729130010,"46,032890","7,1132300",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Vaccinium_myrtillus,NA,NA,NA,LC,2026,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_001575,20262605_dbgi_001575_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,species,Vaccinium,vitis-idaea,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,2882835,NA,EXACT,GBIF Backbone 2023-08-28,20250729130129,botanical_garden_ID,certain,20250729130129,"46,032900","7,1132410",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Vaccinium_vitis-idaea,NA,NA,NA,LC,2016,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004122,20262605_dbgi_004122_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Anthoxanthum odoratum L.,Anthoxanthum odoratum,Anthoxanthum odoratum L.,species,Anthoxanthum,odoratum,NA,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,2705975,NA,EXACT,GBIF Backbone 2023-08-28,20250605111740,botanical_garden_ID,certain,20250605111740,"46,032608","7,1133130",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Anthoxanthum_odoratum,NA,NA,NA,NA,NA,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004163,20262605_dbgi_004163_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Larix decidua (L.) Mill.,Larix decidua,Larix decidua (L.) Mill.,species,Larix,decidua,NA,NA,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,2686212,NA,EXACT,GBIF Backbone 2023-08-28,20250611113229,botanical_garden_ID,certain,20250611113229,"46,032986","7,1125226",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Larix_decidua,NA,NA,NA,LC,2026,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004270,20262605_dbgi_004270_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Salix helvetica Vill.,Salix helvetica,Salix helvetica Vill.,species,Salix,helvetica,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,5582710,NA,EXACT,GBIF Backbone 2023-08-28,20250605144949,botanical_garden_ID,certain,20250605144949,"46,032925","7,1125903",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Salix_helvetica,NA,NA,NA,LC,2017,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004287,20262605_dbgi_004287_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Salix retusa L.,Salix retusa,Salix retusa L.,species,Salix,retusa,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,8119241,NA,EXACT,GBIF Backbone 2023-08-28,20250605092522,botanical_garden_ID,certain,20250605092522,"46,032875","7,1125360",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Salix_retusa,NA,NA,NA,NA,NA,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004288,20262605_dbgi_004288_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Prenanthes purpurea L.,Prenanthes purpurea,Prenanthes purpurea L.,species,Prenanthes,purpurea,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,3090783,NA,EXACT,GBIF Backbone 2023-08-28,20250605141818,botanical_garden_ID,certain,20250605141818,"46,032944","7,1123705",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Prenanthes_purpurea,NA,NA,NA,NA,NA,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_004291,20262605_dbgi_004291_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Scabiosa lucida Vill.,Scabiosa lucida,Scabiosa lucida Vill.,species,Scabiosa,lucida,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,7475424,NA,EXACT,GBIF Backbone 2023-08-28,20250605093748,botanical_garden_ID,certain,20250605093748,"46,032883","7,1124954",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Scabiosa_lucida,NA,NA,NA,NA,NA,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_006603,20262605_dbgi_006603_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Sedum annuum subsp. annuum,Sedum annuum subsp. annuum,Sedum annuum subsp. annuum,subspecies,Sedum,annuum,annuum,subspecies,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,7333975,NA,EXACT,GBIF Backbone 2023-08-28,20250714173027,botanical_garden_ID,certain,20250714173027,"46,032776","7,1128430",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Sedum_annuum_subsp._annuum,NA,NA,NA,NA,NA,none,MSV000102458,NA,CC0,JBC,jbc
dbgi_006607,20262605_dbgi_006607_01_01.mzML,D:/IOCB/data_dbgi/JBC/neuch_zeno_batch_all_in_one.mzbatch,JBC_zenotof_2026,20262605,Thymus serpyllum L.,Thymus serpyllum,Thymus serpyllum L.,species,Thymus,serpyllum,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,6409622,NA,EXACT,GBIF Backbone 2023-08-28,20250611111204,botanical_garden_ID,certain,20250611111204,"46,032986","7,1124353",1,WGS84 / EPSG:4326,NA,NA,NA,NA,1,NA,NA,silica_gel,NA,"silica_gel, ambient temperature, 24-72h",-80,NA,Retsch_MM400,NA,NA,NA,NA,NA,MeOH:H2O 80:20 (v/v),NA,"shaking 30 min, 20C, 200 rpm; Centrifugation, 14000rpm, 5 min",NA,ML,"-80 C, plastic tube",Waters,Acquity UPLC I-Class,UPLC,"Acquity Premier HSS T3, 50 x 2.1 mm, 1.8 um",C18,30,H2O + 0.05% formic acid,ACN + 0.05% formic acid,2-90% B in 6.5 min; wash 100% B 2 min; reequil 2 min at 2% B,0.4,0.2,10.5,Sciex OS,LCMS – Synapt XS,QTOF,ESI,DDA,CID,"dynamic: intercept 15, slope 0.05, max CE 80 V, CE spread 10 V",10-1000 (MS1); 50-1000 (MS2),0.05,0.025,9,2000,3,"dynamic background subtraction, no static exclusion list",5,MSConvert (ProteoWizard),TRUE,4.10.6,Auto,3000,200,0.003,50,30000,5,0.75-6.52 min,0.843,30000,0.003,10,0.06,0.0030 Da / 50.0 ppm,0.0030 Da / 10.0 ppm,MZmine 4.10.6,neuch_zeno_batch_all_in_one.mzbatch,pooled QC,NA,every 20 samples,TRUE,NA,Thymus_serpyllum,NA,NA,NA,LC,2026,none,MSV000102458,NA,CC0,JBC,jbc
