Id;Code interne;UID;Numero de specimen cultive;Status de determination;Determination acceptee;Famille;Familie Citation d'auteurs;Familie Hybride;Genre;Genre Citation d'auteurs;Genre Hybride;Espece;Espece Citation d'auteurs;Espece Hybride;Sous-espece;Sous-espece Citation d'auteurs;Sous-espece Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Obtenteur;Date d'obtention;Pays d'obtention;Nom commercial;Nom s  commun s ;Type biologique;Habitat;Code ipen;Objectif de culture;Site;Aire;Groupe;Sous-groupe;Type d'emplacement;Secteur;Jardinier ere ;Etat de l'etiquette;Vivant;Date de mort;Cause de mort;Nom d'acquisition;Geolocalisation;Type de provenance;Type d'acquisition;Sexe;Aire de distribution;Type de culture;Acronyme   Code  interne  du correspondant;Correspondant;Remarque;Remarque sur l'acquisition;Remarque sur la nomenclature;Main courante;Feuillage Particularites;Floraison Particularites;General Particularites;Morphologie;Complements
53536;;b627004c-6671-4a85-aed8-1242fc849426;20170028C0;Non determine;Argania spinosa (L.) Skeels;Sapotaceae;Juss.;;Argania;Roem. & Schult.;;spinosa;(L.) Skeels;;;;;;;;;;;;;;;MA-0-NEU-20170064;Culture de collection;Jardin Botanique de Neuchâtel;;Serre 5;Orangerie;Groupe;Jardin;;Inconnue;VRAI;;;Argania spinosa (L.) Skeels;Al-Mad?na, Essaouira, Province Essaouira, Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53538;;1e608adf-43ff-4022-9e4e-2f96f273a212;20170030J0;Non determine;Euphorbia dendroides L.;Euphorbiaceae;Juss.;;Euphorbia;L.;;dendroides;L.;;;;;;;;;;;;;;;XX-0-NEU-20170068;Culture de collection;Jardin Botanique de Neuchâtel;;Serre 5;Orangerie;Groupe;Jardin;;Inconnue;VRAI;;;Euphorbia dendroides L.;;Jardin;J;;;;BC;Jardí Botanic de Barcelona;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53539;;c9a1aecf-4d9a-4da0-bcff-454446f3d5d6;20170031C0;Non determine;Tetraclinis articulata (Vahl) Mast.;Cupressaceae;Gray;;Tetraclinis;Mast.;;articulata;(Vahl) Mast.;;;;;;;;;;;;;;;MA-0-NEU-20170069;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin mediterraneen;Garrigue;Groupe;Jardin;;Inconnue;VRAI;;;Tetraclynis articulata;Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53540;;5a6e3684-9482-4e8a-86a5-89c66ea1d821;20170031C1;Non determine;Tetraclinis articulata (Vahl) Mast.;Cupressaceae;Gray;;Tetraclinis;Mast.;;articulata;(Vahl) Mast.;;;;;;;;;;;;;;;MA-0-NEU-20170069;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin mediterraneen;Côteau;Groupe;Jardin;;Inconnue;VRAI;;;Tetraclynis articulata;Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53542;;a5643059-ef37-4d33-a73c-1d3a0a13211d;20170032C0;Non determine;Juniperus L.;Cupressaceae;Gray;;Juniperus;L.;;;;;;;;;;;;;;;;;;MA-0-NEU-20170070;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin mediterraneen;Garrigue;Groupe;Jardin;;Inconnue;VRAI;;;Juniperus L.;Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53543;;c1825f25-1949-4578-82ca-3ffce7d129b7;20170033C0;Non determine;Juniperus oxycedrus subsp. rufescens (Link) Debeaux;Cupressaceae;Gray;;Juniperus;L.;;oxycedrus;L.;;rufescens;(Link) Debeaux;;subsp.;;;;;;;;;;MA-0-NEU-20170071;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin mediterraneen;Garrigue;Groupe;Jardin;;Inconnue;VRAI;;;Juniperus oxycedrus subsp. rufescens (Link) Debeaux;Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53544;;c89e00ac-6284-4327-8042-973ebc360a12;20170034C0;Non determine;Juniperus phoenicea L.;Cupressaceae;Gray;;Juniperus;L.;;phoenicea;L.;;;;;;;;;;;;;;;MA-0-NEU-20170073;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin mediterraneen;Côteau;Groupe;Jardin;;Inconnue;VRAI;;;Juniperus phoenicea subsp. lycia;Al-Mad?na, Essaouira, Province Essaouira, Maroc, Afrique, Monde;Sauvage (cultive);J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53545;;84056b9b-e045-48fb-a661-96bafbe99997;20200239C0;Non determine;Acorus calamus L.;Acoraceae;Martinov;;Acorus;L.;;calamus;L.;;;;;;;;;;;;;;;CH-0-NEU-20200239;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Milieux humides;Groupe;Jardin;;Inconnue;VRAI;;;Acorus calamus L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53547;;898aa334-88f4-42e8-ab9f-27b43d45ad75;20200241C0;Non determine;Anemone narcissiflora L.;Ranunculaceae;Juss.;;Anemone;L.;;narcissiflora;L.;;;;;;;;;;;;;;;CH-0-NEU-20200241;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;;Place;Jardin;;Inconnue;VRAI;;;Anemone narcissiflora L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53548;;048b8502-ff1c-4bb6-b485-5187151fabdc;20200242C0;Non determine;Angelica sylvestris L.;Apiaceae;Lindl.;;Angelica;L.;;sylvestris;L.;;;;;;;;;;;;;;;CH-0-NEU-20200242;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin de l'evolution;Campanulidees2;Groupe;Jardin;;Inconnue;VRAI;;;Angelica sylvestris L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53549;;e6d4a0d7-6a8f-4af4-8b97-bc1ccbb6fb6f;20200243C0;Non determine;Athamanta cretensis L.;Apiaceae;Lindl.;;Athamanta;L.;;cretensis;L.;;;;;;;;;;;;;;;CH-0-NEU-20200243;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;;Place;Jardin;;Inconnue;VRAI;;;Athamanta cretensis L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53550;;e5c0001c-f3e7-417e-9998-7434e1d0ed84;20200244C0;Non determine;Cephalaria alpina (L.) Roem. & Schult.;Caprifoliaceae;Juss.;;Cephalaria;Schrad.;;alpina;(L.) Roem. & Schult.;;;;;;;;;;;;;;;CH-0-NEU-20200244;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin de l'evolution;Campanulidees2;Groupe;Jardin;;Inconnue;VRAI;;;Cephalaria alpina (L.) Roem. & Schult.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53551;;fa866a9b-8fef-4cda-8701-dad4497ca364;20200245C0;Non determine;Clematis alpina (L.) Mill.;Ranunculaceae;Juss.;;Clematis;L.;;alpina;(L.) Mill.;;;;;;;;;;;;;;;CH-0-NEU-20200245;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;;Place;Jardin;;Inconnue;VRAI;;;Clematis alpina (L.) Mill.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53552;;9206ce2d-ee28-4631-93be-2f45105d59e7;20200246C0;Non determine;Erinus alpinus L.;Plantaginaceae;Juss.;;Erinus;L.;;alpinus;L.;;;;;;;;;;;;;;;CH-0-NEU-20200246;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;;Place;Jardin;;Inconnue;VRAI;;;Erinus alpinus L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53553;;d9a17be0-7684-48e1-9797-d6276e4565aa;20200247C0;Non determine;Gentiana lutea L.;Gentianaceae;Juss.;;Gentiana;L.;;lutea;L.;;;;;;;;;;;;;;;CH-0-NEU-20200247;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Prairies et pâturages;Groupe;Jardin;;Inconnue;VRAI;;;Gentiana lutea L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53554;;29ff0d54-654a-4163-81c0-09eb3ce198d2;20200248C0;Non determine;Heracleum sphondylium L.;Apiaceae;Lindl.;;Heracleum;L.;;sphondylium;L.;;;;;;;;;;;;;;;CH-0-NEU-20200248;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Prairies et pâturages;Groupe;Jardin;;Inconnue;VRAI;;;Heracleum sphondylium L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
53556;;0ad200a9-2d8c-420d-b40e-3ed73dd44d7e;20200250C0;Non determine;Inula helenium L.;Compositae;Giseke;;Inula;L.;;helenium;L.;;;;;;;;;;;;;;;CH-0-NEU-20200250;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin de l'evolution;;Place;Jardin;;Inconnue;VRAI;;;Inula helenium L.;Suisse, Europe, Monde;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
