"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10241,"Great Smoky Mountains National Park, USA",-83.507075,35.602093,"Temperate Broadleaf & Mixed Forests",10.80283,1592.83592,"Abies fraseri"
10680,"Georgia",-83.446678,32.65409,"Temperate Grasslands, Savannas & Shrublands",17.5602,1287.53655,"Abies fraseri"
10782,"North Carolina",-79.380157,35.549589,"Temperate Broadleaf & Mixed Forests",14.98434,1260.68285,"Abies fraseri"
10886,"Tennessee",-86.347529,35.851052,"Temperate Broadleaf & Mixed Forests",14.11367,1359.77647,"Abies fraseri"
10914,"Virginia",-78.825897,37.521801,"Temperate Broadleaf & Mixed Forests",12.9314,1095.01626,"Abies fraseri"
11498,"United States",-112.646462,45.711338,"Temperate Grasslands, Savannas & Shrublands",7.22962,694.60057,"Abies fraseri"
12094,"North America",-92.01606,58.885739,"Boreal Forests/Taiga",-4.27999,556.19186,"Abies fraseri"
215,"New Zealand",172.597055,-41.790125,"Temperate Broadleaf & Mixed Forests",10.39574,1712.17613,"Acaena fissistipula"
670,"New Zealand Botanical Region",172.603176,-41.826686,"Temperate Broadleaf & Mixed Forests",10.39869,1709.07839,"Acaena fissistipula"
129,"Macquarie Island",158.863935,-54.628404,"Tundra",4.01632,1006.95046,"Acaena magellanica"
130,"Heard and McDonald Islands",73.510618,-53.092606,"Tundra",-3.45833,797.19048,"Acaena magellanica"
152,"West Falkland",-60.111132,-51.750925,"Temperate Grasslands, Savannas & Shrublands",6.4766,512.77554,"Acaena magellanica"
153,"East Falkland",-58.75274,-51.740234,"Temperate Grasslands, Savannas & Shrublands",6.36915,568.05602,"Acaena magellanica"
215,"New Zealand",172.597055,-41.790125,"Temperate Broadleaf & Mixed Forests",10.39574,1712.17613,"Acaena magellanica"
366,"Prince Edward Island",37.940784,-46.635774,"Tundra",5.14817,2364.23088,"Acaena magellanica"
367,"Marion Island",37.740395,-46.907004,"Tundra",4.14563,2413.45616,"Acaena magellanica"
397,"South Georgia",-36.692768,-54.375076,"Tundra",-1.10791,1619.8387,"Acaena magellanica"
398,"Iles Crozet",51.615483,-46.356551,"Tundra",4.30992,2420.49646,"Acaena magellanica"
399,"Iles Kerguelen",69.484905,-49.301263,"Tundra",2.99982,824.21936,"Acaena magellanica"
401,"Heard Island",73.51685,-53.093181,"Tundra",-3.50775,797.20491,"Acaena magellanica"
553,"Auckland Islands",166.097263,-50.736484,"Tundra",7.29733,1550.18978,"Acaena magellanica"
971,"Ile aux Cochons",50.234649,-46.098112,"Tundra",4.66807,2402.55643,"Acaena magellanica"
972,"Ile de la Possession",51.759105,-46.411781,"Tundra",4.31763,2414.11627,"Acaena magellanica"
10006,"Parque Nacional Pali Aike, Chile",-69.724468,-52.101084,"Temperate Grasslands, Savannas & Shrublands",6.45908,265.8464,"Acaena magellanica"
10011,"Región de Coquimbo, Chile",-70.869666,-30.60707,"Mediterranean Forests, Woodlands & Scrub",9.50298,143.39193,"Acaena magellanica"
10107,"Province of Catamarca, Argentina",-66.952444,-27.332183,"Montane Grasslands & Shrublands",11.27693,224.79936,"Acaena magellanica"
10109,"Province of Chubut, Argentina",-68.523217,-43.789626,"Temperate Grasslands, Savannas & Shrublands",10.17411,270.15421,"Acaena magellanica"
10117,"Province of La Rioja, Argentina",-67.178293,-29.679885,"Montane Grasslands & Shrublands",15.55311,303.84755,"Acaena magellanica"
10118,"Province of Mendoza, Argentina",-68.586679,-34.628651,"Temperate Grasslands, Savannas & Shrublands",11.65979,340.73356,"Acaena magellanica"
10120,"Province of Neuquén, Argentina",-70.117979,-38.635625,"Temperate Grasslands, Savannas & Shrublands",10.01265,483.52187,"Acaena magellanica"
10121,"Province of Río Negro, Argentina",-67.229001,-40.406811,"Temperate Grasslands, Savannas & Shrublands",12.22086,290.14577,"Acaena magellanica"
10122,"Province of Salta, Argentina",-64.819941,-24.29609,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.90733,560.98028,"Acaena magellanica"
10123,"Province of Santa Cruz, Argentina",-69.941441,-48.812707,"Temperate Grasslands, Savannas & Shrublands",8.12664,247.71471,"Acaena magellanica"
10126,"Province of San Juan, Argentina",-68.874961,-30.86424,"Montane Grasslands & Shrublands",9.69264,214.60347,"Acaena magellanica"
10128,"Province of Tierra del Fuego, Argentina",-67.401351,-54.332021,"Temperate Broadleaf & Mixed Forests",4.9626,475.4672,"Acaena magellanica"
10133,"Región de Tarapacá, Chile",-69.461057,-19.705834,"Deserts & Xeric Shrublands",11.10194,79.04472,"Acaena magellanica"
10134,"Región de Antofagasta, Chile",-69.103026,-23.456601,"Deserts & Xeric Shrublands",11.94497,22.73256,"Acaena magellanica"
10135,"Región de Atacama, Chile",-69.913523,-27.369345,"Mediterranean Forests, Woodlands & Scrub",9.62745,42.71163,"Acaena magellanica"
10136,"Región de Valparaíso, Chile",-70.95966,-32.705545,"Mediterranean Forests, Woodlands & Scrub",11.30598,337.23723,"Acaena magellanica"
10137,"Región del Libertador General Bernardo O'Higgins, Chile",-71.065066,-34.429129,"Mediterranean Forests, Woodlands & Scrub",12.35973,668.49925,"Acaena magellanica"
10138,"Región del Maule, Chile",-71.416519,-35.576152,"Temperate Broadleaf & Mixed Forests",10.81338,857.8813,"Acaena magellanica"
10139,"Región del Bío-Bío, Chile",-72.237073,-37.152614,"Temperate Broadleaf & Mixed Forests",11.03984,1302.98789,"Acaena magellanica"
10140,"Región de la Araucanía, Chile",-72.279932,-38.695638,"Temperate Broadleaf & Mixed Forests",10.0465,1632.71468,"Acaena magellanica"
10141,"Región de Los Lagos, Chile",-72.820691,-41.565658,"Temperate Broadleaf & Mixed Forests",8.99325,1918.78588,"Acaena magellanica"
10142,"Región Aisén del General Carlos Ibáñez del Campo, Chile",-73.260413,-46.419656,"Temperate Broadleaf & Mixed Forests",5.87897,1813.34791,"Acaena magellanica"
10143,"Región de Magallanes y de la Antártica Chilena, Chile",-71.900464,-52.479004,"Temperate Broadleaf & Mixed Forests",5.01213,1584.32127,"Acaena magellanica"
10144,"Región Metropolitana de Santiago, Chile",-70.654034,-33.585428,"Mediterranean Forests, Woodlands & Scrub",9.82966,465.96336,"Acaena magellanica"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acaena magellanica"
10563,"Southern South America",-65.381907,-34.697447,"Temperate Grasslands, Savannas & Shrublands",14.19024,715.79811,"Acaena magellanica"
10670,"Falkland Is.",-59.372346,-51.739824,"Temperate Grasslands, Savannas & Shrublands",6.41358,543.56319,"Acaena magellanica"
10763,"Marion-Prince Edward Is.",37.760157,-46.859559,"Tundra",4.14349,2424.97579,"Acaena magellanica"
11895,"Nuble, Chile",-71.927593,-36.622174,"Temperate Broadleaf & Mixed Forests",11.21632,1151.17468,"Acaena magellanica"
12051,"Region de Tarapaca, Chile",-69.406359,-20.13889,"Deserts & Xeric Shrublands",11.88552,47.69339,"Acaena magellanica"
12052,"Region de los Lagos, Chile",-72.898155,-42.036202,"Temperate Broadleaf & Mixed Forests",8.75457,1909.68204,"Acaena magellanica"
12053,"Region de los Rios, Chile",-72.573935,-40.066766,"Temperate Broadleaf & Mixed Forests",9.74835,1947.58677,"Acaena magellanica"
12054,"Region de Arica y Parinacota, Chile",-69.622148,-18.430458,"Montane Grasslands & Shrublands",8.79445,171.36834,"Acaena magellanica"
12106,"Bio-Bio excl. Nuble, Chile",-72.431147,-37.48525,"Temperate Broadleaf & Mixed Forests",10.92893,1398.39304,"Acaena magellanica"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acaena magellanica"
12283,"West Sub-Antarctic Islands",-58.622208,-60.212087,"Rock and Ice",-1.67157,631.54675,"Acaena magellanica"
152,"West Falkland",-60.111132,-51.750925,"Temperate Grasslands, Savannas & Shrublands",6.4766,512.77554,"Acaena ovalifolia"
153,"East Falkland",-58.75274,-51.740234,"Temperate Grasslands, Savannas & Shrublands",6.36915,568.05602,"Acaena ovalifolia"
10011,"Región de Coquimbo, Chile",-70.869666,-30.60707,"Mediterranean Forests, Woodlands & Scrub",9.50298,143.39193,"Acaena ovalifolia"
10106,"Province of Buenos Aires, Argentina",-60.565978,-36.683527,"Temperate Grasslands, Savannas & Shrublands",15.20353,857.70849,"Acaena ovalifolia"
10107,"Province of Catamarca, Argentina",-66.952444,-27.332183,"Montane Grasslands & Shrublands",11.27693,224.79936,"Acaena ovalifolia"
10109,"Province of Chubut, Argentina",-68.523217,-43.789626,"Temperate Grasslands, Savannas & Shrublands",10.17411,270.15421,"Acaena ovalifolia"
10115,"Province of Jujuy, Argentina",-65.762191,-23.317464,"Montane Grasslands & Shrublands",10.84815,323.45389,"Acaena ovalifolia"
10120,"Province of Neuquén, Argentina",-70.117979,-38.635625,"Temperate Grasslands, Savannas & Shrublands",10.01265,483.52187,"Acaena ovalifolia"
10121,"Province of Río Negro, Argentina",-67.229001,-40.406811,"Temperate Grasslands, Savannas & Shrublands",12.22086,290.14577,"Acaena ovalifolia"
10122,"Province of Salta, Argentina",-64.819941,-24.29609,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.90733,560.98028,"Acaena ovalifolia"
10123,"Province of Santa Cruz, Argentina",-69.941441,-48.812707,"Temperate Grasslands, Savannas & Shrublands",8.12664,247.71471,"Acaena ovalifolia"
10128,"Province of Tierra del Fuego, Argentina",-67.401351,-54.332021,"Temperate Broadleaf & Mixed Forests",4.9626,475.4672,"Acaena ovalifolia"
10129,"Province of Tucamán, Argentina",-65.365698,-26.943792,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17.98941,684.92036,"Acaena ovalifolia"
10137,"Región del Libertador General Bernardo O'Higgins, Chile",-71.065066,-34.429129,"Mediterranean Forests, Woodlands & Scrub",12.35973,668.49925,"Acaena ovalifolia"
10138,"Región del Maule, Chile",-71.416519,-35.576152,"Temperate Broadleaf & Mixed Forests",10.81338,857.8813,"Acaena ovalifolia"
10142,"Región Aisén del General Carlos Ibáñez del Campo, Chile",-73.260413,-46.419656,"Temperate Broadleaf & Mixed Forests",5.87897,1813.34791,"Acaena ovalifolia"
