"species","temperature","precipitation","uid","parent_uid","genus","rank","sourceinfo","uniqname","flags","...8","family","unique_name.family","ott_id.family","name.order","unique_name.order","ott_id.order","name.no.rank","unique_name.no.rank","ott_id.no.rank","name.class","unique_name.class","ott_id.class","name.phylum","unique_name.phylum","ott_id.phylum","name.kingdom","unique_name.kingdom","ott_id.kingdom","name.domain","unique_name.domain","ott_id.domain","name.subfamily","unique_name.subfamily","ott_id.subfamily","name.suborder","unique_name.suborder","ott_id.suborder","name.tribe","unique_name.tribe","ott_id.tribe","name.subtribe","unique_name.subtribe","ott_id.subtribe","name.superorder","unique_name.superorder","ott_id.superorder","name.subclass","unique_name.subclass","ott_id.subclass","garden","pres","code_garden"
"Abarema josephi",24.813496,271.4559358,667109,851918,"Abarema","genus","ncbi:468123,gbif:2977807,irmng:1364398",NA,NA,NA,"Fabaceae","Fabaceae",560323,"Fabales","Fabales",956360,"mimosoid clade","mimosoid clade",560317,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,"Caesalpinioideae","Caesalpinioideae",560316,NA,NA,NA,"Ingeae","Ingeae",851918,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pr",1,"pr"
"Abelia chinensis",16.0114778571429,140.903267964286,1014066,69534,"Abelia","genus","ncbi:86866,gbif:2888733,irmng:1324811","Abelia (genus in kingdom Archaeplastida)",NA,NA,"Caprifoliaceae","Caprifoliaceae",69534,"Dipsacales","Dipsacales",659705,"asterids","asterids",1008294,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulids","campanulids",596121,NA,NA,NA,"la",1,"la_pr"
"Abeliophyllum distichum",6.34530533333333,93.635131,320357,1088194,"Abeliophyllum","genus","ncbi:126357,gbif:7326164,irmng:1029546",NA,NA,NA,"Oleaceae","Oleaceae",23723,"Lamiales","Lamiales",23736,"lamiids","lamiids",596112,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,"Forsythieae","Forsythieae",1088194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fr",1,"fr_ge_la_pr"
"Abelmoschus esculentus",5.89971023113208,133.473898571429,590123,469942,"Abelmoschus","genus","ncbi:183218,gbif:3152705,irmng:1252487",NA,NA,NA,"Malvaceae","Malvaceae",279960,"Malvales","Malvales",229284,"malvids","malvids",565277,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,"Malvoideae","Malvoideae",469942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fr",1,"fr_ge_la"
"Abelmoschus manihot",21.2121283223684,174.835821777778,590123,469942,"Abelmoschus","genus","ncbi:183218,gbif:3152705,irmng:1252487",NA,NA,NA,"Malvaceae","Malvaceae",279960,"Malvales","Malvales",229284,"malvids","malvids",565277,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,"Malvoideae","Malvoideae",469942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fr",1,"fr_ge_ne"
"Abelmoschus moschatus",6.55194281443299,144.556013068421,590123,469942,"Abelmoschus","genus","ncbi:183218,gbif:3152705,irmng:1252487",NA,NA,NA,"Malvaceae","Malvaceae",279960,"Malvales","Malvales",229284,"malvids","malvids",565277,"Magnoliopsida","Magnoliopsida",99252,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,"Malvoideae","Malvoideae",469942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fr",1,"fr_pr"
"Abies alba",6.40986613445378,78.3032833361345,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"ch_fr_ge_ne"
"Abies balsamea",5.05516146341463,95.2674188780488,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ch_ge"
"Abies bracteata",5.65982333333333,60.1243686666667,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies cephalonica",14.176826875,72.2176008125,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ch_ge"
"Abies chensiensis",9.63545181818182,76.3905837272727,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies cilicica",13.8854916666667,52.0872065,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ch_ge"
"Abies concolor",9.84732903225806,57.0211938064516,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"la",1,"ge_la_pr"
"Abies firma",13.9523891304348,179.368654086957,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies fraseri",10.4774385714286,112.094864,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ch",1,"ch"
"Abies grandis",4.882024375,105.7356964375,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"la",1,"la"
"Abies holophylla",4.69578869565217,66.1243072608696,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies kawakamii",19.00966,254.225951,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"pr",1,"pr"
"Abies koreana",6.77178572727273,80.2964171818182,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"ch_fr_ge_pr"
"Abies lasiocarpa",3.57344,75.4175766585366,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies nebrodensis",14.7447166666667,61.2368716666667,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies nephrolepis",7.88332928571429,76.4757612142857,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"ge",1,"ge"
"Abies nordmanniana",8.36397014925373,85.541897415493,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"ch_fr_ge_ne"
"Abies numidica",15.33376,74.0053136,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"ch_fr_ge"
"Abies pinsapo",13.228441,84.143171826087,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"ch_fr_ge_pr"
"Abies procera",7.5860462962963,105.174131107143,994065,994067,"Abies","genus","ncbi:3319,gbif:2684876,irmng:1087198",NA,NA,NA,"Pinaceae","Pinaceae",994067,"Pinales","Pinales",4736806,"Acrogymnospermae","Acrogymnospermae",5296507,NA,NA,NA,"Tracheophyta","Tracheophyta",10210,"Chloroplastida","Chloroplastida",361838,"Eukaryota","Eukaryota",304358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinidae","Pinidae",7580277,"fr",1,"fr"
