"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10702,"India",78.38501,21.726836,"Tropical & Subtropical Dry Broadleaf Forests",25.99624,1034.43362,"Impatiens campanulata"
344,"Hainan",109.745579,19.195738,"Tropical & Subtropical Moist Broadleaf Forests",24.08567,1571.07517,"Arachniodes chinensis"
345,"Hong Kong (State)",114.134965,22.381121,"Tropical & Subtropical Moist Broadleaf Forests",22.1461,2032.3544,"Arachniodes chinensis"
346,"Macao (State)",113.557368,22.162186,"Tropical & Subtropical Moist Broadleaf Forests",22.7418,2007.78504,"Arachniodes chinensis"
1044,"Japan",138.012255,37.599417,"Temperate Broadleaf & Mixed Forests",10.68275,1626.45776,"Arachniodes chinensis"
1086,"Honshu",137.977928,36.652266,"Temperate Broadleaf & Mixed Forests",11.48297,1655.01522,"Arachniodes chinensis"
1096,"Kyushu",130.867657,32.64945,"Temperate Broadleaf & Mixed Forests",14.81805,2262.14202,"Arachniodes chinensis"
1104,"Shikoku",133.465979,33.662249,"Temperate Broadleaf & Mixed Forests",14.17799,2012.86651,"Arachniodes chinensis"
10428,"Korea Peninsula",127.437918,38.483722,"Temperate Broadleaf & Mixed Forests",8.47623,1103.65898,"Arachniodes chinensis"
10458,"Zhejiang",120.088839,29.179512,"Tropical & Subtropical Moist Broadleaf Forests",15.90896,1485.08018,"Arachniodes chinensis"
10459,"Anhui",117.22623,31.825786,"Temperate Broadleaf & Mixed Forests",15.57469,1138.2016,"Arachniodes chinensis"
10460,"Fujian",117.990954,26.079114,"Tropical & Subtropical Moist Broadleaf Forests",18.11409,1572.42743,"Arachniodes chinensis"
10461,"Jiangxi",115.720822,27.613663,"Tropical & Subtropical Moist Broadleaf Forests",17.54309,1618.27549,"Arachniodes chinensis"
10465,"Hunan",111.708447,27.606976,"Tropical & Subtropical Moist Broadleaf Forests",16.74434,1412.81525,"Arachniodes chinensis"
10466,"Guangdong",113.415283,23.335449,"Tropical & Subtropical Moist Broadleaf Forests",20.99738,1747.98024,"Arachniodes chinensis"
10467,"Guangxi",108.787234,23.827411,"Tropical & Subtropical Moist Broadleaf Forests",19.94268,1547.07177,"Arachniodes chinensis"
10469,"Chongqin",107.87484,30.058649,"Temperate Broadleaf & Mixed Forests",15.43573,1232.9305,"Arachniodes chinensis"
10470,"Sichuan",102.709964,30.615754,"Montane Grasslands & Shrublands",7.44414,856.53643,"Arachniodes chinensis"
10471,"Guizhou",106.874099,26.815182,"Tropical & Subtropical Moist Broadleaf Forests",14.98749,1171.23246,"Arachniodes chinensis"
10472,"Yunnan",101.489402,24.976003,"Tropical & Subtropical Moist Broadleaf Forests",15.1343,1099.06258,"Arachniodes chinensis"
10474,"Shaanxi",108.870582,35.195169,"Temperate Broadleaf & Mixed Forests",10.23313,638.68843,"Arachniodes chinensis"
10475,"Gansu",100.933874,37.820789,"Deserts & Xeric Shrublands",5.08455,307.31562,"Arachniodes chinensis"
10539,"Indo-China",100.967002,17.674784,"Tropical & Subtropical Moist Broadleaf Forests",24.37489,1778.02945,"Arachniodes chinensis"
10757,"Malaya",102.1784,4.028258,"Tropical & Subtropical Moist Broadleaf Forests",25.96023,2543.521,"Arachniodes chinensis"
10888,"Thailand",101.014908,15.119897,"Tropical & Subtropical Moist Broadleaf Forests",26.28045,1403.71737,"Arachniodes chinensis"
