"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10347,"Department of Antioquia, Colombia",-75.591697,6.910417,"Tropical & Subtropical Moist Broadleaf Forests",22.83077,2872.37017,"Abarema josephi"
10489,"Department of Caquetá, Colombia",-73.986059,0.776007,"Tropical & Subtropical Moist Broadleaf Forests",25.09964,2711.13664,"Abarema josephi"
10511,"Department of Vaupés, Colombia",-70.568,0.601072,"Tropical & Subtropical Moist Broadleaf Forests",25.81699,3074.75287,"Abarema josephi"
10513,"Colombia",-73.086149,3.903453,"Tropical & Subtropical Moist Broadleaf Forests",24.49527,2635.56219,"Abarema josephi"
12109,"Amazon",-62.33003,-3.999239,"Tropical & Subtropical Moist Broadleaf Forests",25.82481,2278.97492,"Abarema josephi"
347,"Taiwan",120.968348,23.747603,"Tropical & Subtropical Moist Broadleaf Forests",19.00966,2542.25951,"Abies kawakamii"
10557,"Mexico",-102.534989,23.950923,"Deserts & Xeric Shrublands",20.35159,756.2127,"Abies religiosa"
10690,"Guatemala",-90.356944,15.702306,"Tropical & Subtropical Moist Broadleaf Forests",23.08367,2273.11579,"Abies religiosa"
11109,"Coahuila, Mexico",-102.096767,27.285529,"Deserts & Xeric Shrublands",19.73189,329.70065,"Abies religiosa"
11110,"Colima, Mexico",-103.921337,19.141042,"Tropical & Subtropical Dry Broadleaf Forests",24.90603,967.84493,"Abies religiosa"
11111,"Distrito Federal, Mexico",-99.087942,19.238319,"Tropical & Subtropical Coniferous Forests",14.48912,909.61716,"Abies religiosa"
11112,"Durango, Mexico",-104.985677,24.901677,"Tropical & Subtropical Coniferous Forests",16.76734,646.80213,"Abies religiosa"
11113,"Estado de México, Mexico",-101.037028,20.898078,"Tropical & Subtropical Dry Broadleaf Forests",17.63001,594.30522,"Abies religiosa"
11114,"Guanajuato, Mexico",-99.878151,17.665649,"Tropical & Subtropical Dry Broadleaf Forests",24.13108,1203.4064,"Abies religiosa"
11115,"Guerrero, Mexico",-98.857575,20.483699,"Deserts & Xeric Shrublands",17.69454,882.47292,"Abies religiosa"
11116,"Hidalgo, Mexico",-103.627348,20.557749,"Tropical & Subtropical Dry Broadleaf Forests",19.92203,918.69385,"Abies religiosa"
11117,"Jalisco, Mexico",-99.627222,19.340714,"Tropical & Subtropical Coniferous Forests",15.33029,961.22461,"Abies religiosa"
11118,"Michoacán, Mexico",-101.884522,19.19943,"Tropical & Subtropical Dry Broadleaf Forests",21.1241,937.65118,"Abies religiosa"
11119,"Morelos, Mexico",-99.006737,18.732491,"Tropical & Subtropical Dry Broadleaf Forests",22.07566,954.69376,"Abies religiosa"
11121,"Nuevo León, Mexico",-99.997294,25.580091,"Deserts & Xeric Shrublands",20.56132,513.50052,"Abies religiosa"
11122,"Oaxaca, Mexico",-96.437834,16.95564,"Tropical & Subtropical Coniferous Forests",22.05997,1342.10798,"Abies religiosa"
11123,"Puebla, Mexico",-97.816183,19.037532,"Tropical & Subtropical Coniferous Forests",18.20693,965.80747,"Abies religiosa"
11124,"Querétaro, Mexico",-99.877928,20.840944,"Deserts & Xeric Shrublands",17.94703,598.55076,"Abies religiosa"
11126,"San Luis Potosí, Mexico",-100.451545,22.605895,"Deserts & Xeric Shrublands",19.18246,589.58629,"Abies religiosa"
11127,"Sinaloa, Mexico",-107.492663,24.992551,"Tropical & Subtropical Dry Broadleaf Forests",24.06439,778.37195,"Abies religiosa"
11130,"Tamaulipas, Mexico",-98.672341,24.302169,"Tropical & Subtropical Moist Broadleaf Forests",22.96542,730.52406,"Abies religiosa"
11131,"Tlaxcala, Mexico",-98.083141,19.451851,"Tropical & Subtropical Coniferous Forests",13.16024,764.26178,"Abies religiosa"
11132,"Veracruz, Mexico",-96.378678,19.353653,"Tropical & Subtropical Moist Broadleaf Forests",23.98222,1712.98058,"Abies religiosa"
11134,"Zacatecas, Mexico",-102.708861,23.266592,"Deserts & Xeric Shrublands",16.75542,465.57379,"Abies religiosa"
10018,"Burnett, QLD, Australia",151.271631,-25.71735,"Tropical & Subtropical Grasslands, Savannas & Shrublands",19.62301,725.25659,"Acacia neriifolia"
10020,"Darling Downs, QLD, Australia",150.762854,-27.616649,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.85984,642.47444,"Acacia neriifolia"
10023,"Leichhardt, QLD, Australia",148.750577,-24.010518,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.32177,659.42446,"Acacia neriifolia"
10026,"Moreton, QLD, Australia",152.640329,-27.431177,"Temperate Broadleaf & Mixed Forests",19.13389,1085.51116,"Acacia neriifolia"
10028,"Port Curtis, QLD, Australia",150.523303,-23.509004,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.67707,887.17179,"Acacia neriifolia"
10030,"Warrego, QLD, Australia",145.127305,-27.058965,"Temperate Grasslands, Savannas & Shrublands",21.24761,392.85079,"Acacia neriifolia"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia neriifolia"
11111,"Distrito Federal, Mexico",-99.087942,19.238319,"Tropical & Subtropical Coniferous Forests",14.48912,909.61716,"Acacia neriifolia"
11123,"Puebla, Mexico",-97.816183,19.037532,"Tropical & Subtropical Coniferous Forests",18.20693,965.80747,"Acacia neriifolia"
11132,"Veracruz, Mexico",-96.378678,19.353653,"Tropical & Subtropical Moist Broadleaf Forests",23.98222,1712.98058,"Acacia neriifolia"
11420,"North Coast, Australia",152.444633,-30.573727,"Temperate Broadleaf & Mixed Forests",17.5948,1226.759,"Acacia neriifolia"
11423,"Northern Tablelands, Australia",151.578392,-30.459348,"Temperate Broadleaf & Mixed Forests",13.67303,925.30091,"Acacia neriifolia"
11426,"North Western Slopes, Australia",150.308546,-30.617345,"Temperate Broadleaf & Mixed Forests",16.80862,729.1133,"Acacia neriifolia"
11427,"Central Western Slopes, Australia",148.611328,-33.025855,"Temperate Broadleaf & Mixed Forests",16.25113,628.43663,"Acacia neriifolia"
11429,"North Western Plains, Australia",147.415736,-30.318502,"Temperate Grasslands, Savannas & Shrublands",19.55784,450.54651,"Acacia neriifolia"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia neriifolia"
12168,"Central Queensland, Australia",144.275375,-21.961274,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23.56944,516.0414,"Acacia neriifolia"
12169,"Eastern Desert, Australia",140.941624,-28.216153,"Deserts & Xeric Shrublands",20.77307,305.40488,"Acacia neriifolia"
12170,"Eastern Queensland, Australia",150.092665,-24.136791,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.10517,844.10979,"Acacia neriifolia"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia neriifolia"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia boormanii"
10066,"Snowy River National Park, Australia",148.443238,-37.255373,"Temperate Broadleaf & Mixed Forests",12.17855,790.58203,"Acacia boormanii"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia boormanii"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia boormanii"
11425,"Southern Tablelands, Australia",149.059464,-35.72627,"Temperate Broadleaf & Mixed Forests",11.30218,862.96786,"Acacia boormanii"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia boormanii"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia boormanii"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia boormanii"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia boormanii"
10082,"Botswana",23.814341,-22.188941,"Deserts & Xeric Shrublands",22.12646,375.04606,"Acacia erioloba"
10090,"Namibia",17.220553,-22.140649,"Deserts & Xeric Shrublands",20.36631,274.76038,"Acacia erioloba"
10579,"Angola, excl. Cabinda",17.571815,-12.335762,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.57398,1024.95693,"Acacia erioloba"
10934,"Zimbabwe",29.871762,-19.000007,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.58986,665.39732,"Acacia erioloba"
