"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Acanthophippium gougahense","ALIVE","2018-1176","K:LCD-2018-1176*1","Acanthophippium gougahense","Acanthophippium","Orchidaceae","","N - Natural Source and Progeny","","03-07-2024","genus"
"Acanthophippium gougahense","ALIVE","2022-406","K:LCD-2022-406*1","Acanthophippium gougahense","Acanthophippium","Orchidaceae","","","","04-07-2024","genus"
"Acanthophippium gougahense","ALIVE","2018-1162","K:LCD-2018-1162*1","Acanthophippium gougahense","Acanthophippium","Orchidaceae","","N - Natural Source and Progeny","","04-07-2024","genus"
"Acharagma roseanum","ALIVE","2004-3068","K:LCD-2004-3068*1","Acharagma roseanum","Acharagma","Cactaceae","","","","10-12-2024","genus"
"Acharagma roseanum","ALIVE","1998-3217","K:LCD-1998-3217*1","Acharagma roseanum","Acharagma","Cactaceae","","","","10-12-2024","genus"
"Acrodon bellidiflorus","ALIVE","1999-3835","K:LCD-1999-3835*3","Acrodon bellidiflorus","Acrodon","Aizoaceae",NA,"","South Africa","08-02-2024","genus"
"Acrodon bellidiflorus","ALIVE","1999-3835","K:LCD-1999-3835*1","Acrodon bellidiflorus","Acrodon","Aizoaceae","","","South Africa","12-12-2023","genus"
"Acrodon subulatus","ALIVE","1999-2291","K:LCD-1999-2291*2","Acrodon subulatus","Acrodon","Aizoaceae","","","","12-12-2023","genus"
"Acrodon subulatus","ALIVE","1999-2291","K:LCD-1999-2291*3","Acrodon subulatus","Acrodon","Aizoaceae","","","","12-12-2023","genus"
"Actiniopteris australis","ALIVE","2022-948","K:LCD-2022-948*1","Actiniopteris australis","Actiniopteris","Pteridaceae","","","","18-08-2022","genus"
"Actinorhytis calapparia","ALIVE","2022-485","K:LCD-2022-485*2","Actinorhytis calapparia","Actinorhytis","Arecaceae","","","","16-06-2025","genus"
"Adenanthera pavonina","ALIVE","1969-5283","K:LCD-1969-5283*2","Adenanthera pavonina","Adenanthera","Fabaceae","","N - Natural Source and Progeny","Ghana","19-12-2023","genus"
"Adenanthera pavonina","ALIVE","1969-5283","K:LCD-1969-5283*4","Adenanthera pavonina","Adenanthera","Fabaceae","","N - Natural Source and Progeny","Ghana","19-12-2023","genus"
"Adenocalymma marginatum","ALIVE","1969-12344","K:LCD-1969-12344*1","Adenocalymma marginatum","Adenocalymma","Bignoniaceae","","","","15-03-2023","genus"
"Adesmia balsamica","ALIVE","2016-1333","K:LCD-2016-1333*2","Adesmia balsamica","Adesmia","Fabaceae",NA,"N - Natural Source and Progeny","Chile","30-01-2024","genus"
"Adesmia balsamica","ALIVE","2016-1333","K:LCD-2016-1333*1","Adesmia balsamica","Adesmia","Fabaceae",NA,"N - Natural Source and Progeny","Chile","01-02-2024","genus"
"Aextoxicon punctatum","ALIVE","1983-1599","K:LCD-1983-1599*1","Aextoxicon punctatum","Aextoxicon","Aextoxicaceae",NA,"N - Natural Source and Progeny","Chile","06-02-2024","family"
"Aextoxicon punctatum","ALIVE","1983-1599","K:LCD-1983-1599*1","Aextoxicon punctatum","Aextoxicon","Aextoxicaceae",NA,"N - Natural Source and Progeny","Chile","06-02-2024","genus"
"Aextoxicon punctatum","ALIVE","1983-1599","K:LCD-1983-1599*2","Aextoxicon punctatum","Aextoxicon","Aextoxicaceae",NA,"N - Natural Source and Progeny","Chile","05-02-2024","family"
"Aextoxicon punctatum","ALIVE","1983-1599","K:LCD-1983-1599*2","Aextoxicon punctatum","Aextoxicon","Aextoxicaceae",NA,"N - Natural Source and Progeny","Chile","05-02-2024","genus"
"Agarista mexicana var. mexicana","ALIVE","1994-2158","K:LCD-1994-2158*1","Agarista mexicana var. mexicana","Agarista","Ericaceae",NA,"N - Natural Source and Progeny","Mexico","29-07-2022","genus"
"Aglaia sapindina","ALIVE","1992-823","K:LCD-1992-823*2","Aglaia sapindina","Aglaia","Meliaceae","","N - Natural Source and Progeny","Australia","10-06-2025","genus"
"Aglaia sapindina","ALIVE","1992-823","K:LCD-1992-823*3","Aglaia sapindina","Aglaia","Meliaceae","","N - Natural Source and Progeny","Australia","10-06-2025","genus"
"Alniphyllum eberhardtii","ALIVE","2015-1066","K:LCD-2015-1066*1","Alniphyllum eberhardtii","Alniphyllum","Styracaceae",NA,"N - Natural Source and Progeny","Vietnam","20-05-2024","genus"
"Amherstia nobilis","ALIVE","1987-8260","K:LCD-1987-8260*2","Amherstia nobilis","Amherstia","Fabaceae","","","","31-05-2024","genus"
"Ampelocalamus scandens","ALIVE","1991-1157","K:LCD-1991-1157*1","Ampelocalamus scandens","Ampelocalamus","Poaceae",NA,"N - Natural Source and Progeny","China","24-05-2024","genus"
"Amphitecna macrophylla","ALIVE","2019-975","K:LCD-2019-975*1","Amphitecna macrophylla","Amphitecna","Bignoniaceae","","","","15-03-2023","genus"
"Anadendrum","ALIVE","1996-2106","K:LCD-1996-2106*1","Anadendrum","Anadendrum","Araceae","","N - Natural Source and Progeny","Malaysia","26-07-2023","genus"
"Andinia dalstroemii","ALIVE","2024-0267","K:LCD-2024-0267*1","Andinia dalstroemii","Andinia","Orchidaceae","","","","15-02-2024","genus"
"Andinia schizopogon","ALIVE","2022-370","K:LCD-2022-370*2","Andinia schizopogon","Andinia","Orchidaceae","","","","15-05-2023","genus"
"Andinia schizopogon","ALIVE","2022-370","K:LCD-2022-370*1","Andinia schizopogon","Andinia","Orchidaceae","","","","20-11-2023","genus"
"Andinia spiralis","ALIVE","2024-0268","K:LCD-2024-0268*1","Andinia spiralis","Andinia","Orchidaceae","","","","14-02-2024","genus"
"Angadenia berteroi","ALIVE","2011-991","K:LCD-2011-991*1","Angadenia berteroi","Angadenia","Apocynaceae","","N - Natural Source and Progeny","Turks and Caicos Islands","05-12-2023","genus"
"Ania penangiana","ALIVE","2015-1279","K:LCD-2015-1279*1","Ania penangiana","Ania","Orchidaceae","","N - Natural Source and Progeny","","04-07-2024","genus"
