filename;sample_id;species;NCBITaxonomy_ID;Ionization_mode;garden;dataset;taxon_scientific_name;taxon_accepted_name;taxon_rank;observation_subject;is_wild;qfield_project;latitude;longitude;collection_date;instrument_model;extraction_method;sample_type
20240307_EB_dbgi_001195_01_01.mzML;dbgi_001195;Geranium sibiricum L.;NA;Positive;JBUF;jbuf;Geranium sibiricum;Geranium sibiricum L.;species;NA;0;jbuf;46,792282;7,1569970;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001199_01_01.mzML;dbgi_001199;Oenothera glazioviana Micheli;NA;Positive;JBUF;jbuf;Oenothera glazioviana;Oenothera glazioviana Micheli;species;NA;0;jbuf;46,792260;7,1569967;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001213_01_01.mzML;dbgi_001213;Arabis alpina subsp. alpina;NA;Positive;JBUF;jbuf;Arabis alpina subsp. alpina;Arabis alpina subsp. alpina;subspecies;NA;0;jbuf;46,792175;7,1568546;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001215_01_01.mzML;dbgi_001215;Lythrum hyssopifolia L.;NA;Positive;JBUF;jbuf;Lythrum hyssopifolia;Lythrum hyssopifolia L.;species;NA;0;jbuf;46,792248;7,1570535;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001764_01_01.mzML;dbgi_001764;Raphanus sativus var. niger;NA;Positive;JBUF;jbuf;Raphanus sativus var. niger;Raphanus sativus var. niger;variety;NA;0;jbuf;46,792183;7,1569376;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001773_01_01.mzML;dbgi_001773;Diplotaxis tenuifolia (L.) DC.;NA;Positive;JBUF;jbuf;Diplotaxis tenuifolia;Diplotaxis tenuifolia (L.) DC.;species;NA;0;jbuf;46,792164;7,1568937;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001774_01_01.mzML;dbgi_001774;Brassica rapa subsp. rapa;NA;Positive;JBUF;jbuf;Brassica rapa subsp. rapa;Brassica rapa subsp. rapa;subspecies;NA;0;jbuf;46,792170;7,1569853;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001777_01_01.mzML;dbgi_001777;Brassica oleracea L.;NA;Positive;JBUF;jbuf;Brassica oleracea;Brassica oleracea L.;species;NA;0;jbuf;46,792160;7,1570830;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001781_01_01.mzML;dbgi_001781;Erysimum perofskianum Fisch. & C.A.Mey.;NA;Positive;JBUF;jbuf;Erysimum perofskianum;Erysimum perofskianum Fisch. & C.A.Mey.;species;NA;0;jbuf;46,792206;7,1567790;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001788_01_01.mzML;dbgi_001788;Neslia paniculata (L.) Desv.;NA;Positive;JBUF;jbuf;Neslia paniculata;Neslia paniculata (L.) Desv.;species;NA;0;jbuf;46,792213;7,1567590;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001799_01_01.mzML;dbgi_001799;Polanisia dodecandra (L.) DC.;NA;Positive;JBUF;jbuf;Polanisia dodecandra;Polanisia dodecandra (L.) DC.;species;NA;0;jbuf;46,792210;7,1568440;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001804_01_01.mzML;dbgi_001804;Beta vulgaris L.;NA;Positive;JBUF;jbuf;Beta vulgaris;Beta vulgaris L.;species;NA;0;jbuf;46,792114;7,1568520;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001805_01_01.mzML;dbgi_001805;Gypsophila fastigiata L.;NA;Positive;JBUF;jbuf;Gypsophila fastigiata;Gypsophila fastigiata L.;species;NA;0;jbuf;46,792140;7,1568640;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001809_01_01.mzML;dbgi_001809;Fagopyrum esculentum Moench;NA;Positive;JBUF;jbuf;Fagopyrum esculentum;Fagopyrum esculentum Moench;species;NA;0;jbuf;46,792107;7,1570050;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
20240307_EB_dbgi_001823_01_01.mzML;dbgi_001823;Hesperis matronalis L.;NA;Positive;JBUF;jbuf;Hesperis matronalis;Hesperis matronalis L.;species;NA;0;jbuf;46,792194;7,1568880;NA;LC-MS QExactive Plus;MeOH/H2O;plant specimen
